input,output,input_ids,labels
[TGT] plans to garner up to Rs 200 cr via NCDs,positive,32100 1390 12 22639 52 95 12 11715 2382 5764 1009 9187 308 7 1,1465 1
[TGT] rise tracking overseas markets; gains broad based,positive,32100 3098 6418 10055 3212 117 11391 4358 3 390 1,1465 1
"[TGT] could it be the Wockhardt or the UB of 2012: Sangeeta Purushottam, Professional Investor",neutral,32100 228 34 36 8 549 3961 5651 17 42 8 3 10134 13 1673 10 1051 397 15 17 9 7333 76 11159 17 265 6 4751 16873 1,7163 1
[TGT] gets Board approval for raising Rs 500 crore,neutral,32100 2347 2086 5142 21 7954 11715 2899 23095 1,7163 1
Sell [TGT] with a stop loss of Rs 2606: Mitesh Thacker,negative,16922 32100 28 3 9 1190 1453 13 11715 2208 5176 10 1311 15 7 107 16118 3383 1,2841 1
"Indices unlikely to see major correction: Gaurang Shah, [TGT]",neutral,10194 2319 9909 12 217 779 11698 10 12520 6287 19669 6 32100 1,7163 1
"Bank, [TGT] to underperform Nifty in the short run: Ashwani Gujral",negative,1925 6 32100 12 365 883 2032 445 21822 16 8 710 661 10 7153 3877 23 2846 354 4900 1,2841 1
"January 15, 2014: [TGT] report on rupee",neutral,1762 10725 1412 10 32100 934 30 24617 15 1,7163 1
"Bajaj Finserv, Max India, [TGT] rally as Cabinet clears 49% FDI in Insurance",positive,2659 1191 354 7430 3473 6 5370 1547 6 32100 13980 38 9104 964 7 314 7561 3 13916 196 16 5446 1,1465 1
"Top seven companies add Rs 44,044 crore to investor wealth; [TGT] shines",positive,2224 2391 688 617 11715 8537 6 632 3628 23095 12 12024 5987 117 32100 9567 7 1,1465 1
Levels of 1000 possible for [TGT]: Ashwani Gujral,neutral,7166 7 13 5580 487 21 32100 3 10 7153 3877 23 2846 354 4900 1,7163 1
[TGT] Q1 PAT seen up 48% at Rs 46 cr,positive,32100 1593 536 276 5767 894 95 314 5953 44 11715 9668 5764 1,1465 1
Hindustan Construction Company QIP and [TGT] IPO likely in FY16,neutral,18528 5627 8663 1958 1593 4629 11 32100 3 25470 952 16 23263 2938 1,7163 1
"[TGT] October-December net profit up 5%, income down 9%",positive,32100 1797 18 29835 3134 3199 95 3 2712 6 2055 323 3 7561 1,1465 1
[TGT] deal: Not much for Renuka investors,neutral,32100 1154 10 933 231 21 4965 1598 9 4367 1,7163 1
[TGT] results disappoints on revenue: 10 important takeaways,negative,32100 772 26963 7 30 3751 10 335 359 240 9 6415 1,2841 1
Dhanteras: Demand slump dampens festival; [TGT] fever cools down,negative,309 2618 449 9 7 10 20625 31649 14832 35 7 3994 117 32100 17055 1633 7 323 1,2841 1
"[TGT] to list first on French, Dutch, Belgian exchanges",positive,32100 12 570 166 30 2379 6 10098 6 21768 29 2509 7 1,1465 1
GSFC may breach all-time high levels: [TGT],neutral,3 8256 5390 164 10564 66 18 715 306 1425 10 32100 1,7163 1
Acquisitions double [TGT]'s topline,positive,31713 7 1486 32100 3 31 7 420 747 1,1465 1
[TGT] to hire two executive directors in 2014,neutral,32100 12 3804 192 4297 10392 16 1412 1,7163 1
"Upsides to come from [TGT], midcaps and real estate: Saurabh Mukherjea",positive,3234 1583 7 12 369 45 32100 3 6 2076 4010 7 11 490 2052 10 7745 7093 107 283 1598 760 1924 9 1,1465 1
[TGT] is a 'BUY' call with a target of Rs 295: Ashwani Gujral,positive,32100 19 3 9 3 31 8855 476 31 580 28 3 9 2387 13 11715 204 3301 10 7153 3877 23 2846 354 4900 1,1465 1
[TGT] will not impact foreign investor fund inflows,neutral,32100 56 59 1113 2959 12024 3069 16 7631 7 1,7163 1
"[TGT] at three-month low on global cues, weak demand",negative,32100 44 386 18 7393 731 30 1252 123 15 7 6 5676 2173 1,2841 1
Institutional investors cut their exposure on [TGT],negative,14932 138 4367 1340 70 4773 30 32100 1,2841 1
[TGT] drops 4% on promoter stake sale,negative,32100 11784 3 5988 30 2519 52 8474 1048 1,2841 1
Arvind Ltd ties up with [TGT] for new stores; stock hits 52-week high,neutral,1533 2494 26 3937 3 3010 95 28 32100 21 126 3253 117 1519 8046 9065 18 8041 306 1,7163 1
"HPCL, BPCL, IOC rally even as [TGT] prices on the boil, rupee declines",positive,5481 8440 6 3 11165 8440 6 27 5618 13980 237 38 32100 1596 30 8 13374 6 24617 15 7198 7 1,1465 1
[TGT] can correct between 8300-8400 range: Ashwani Gujral,neutral,32100 54 2024 344 505 5426 6039 5548 620 10 7153 3877 23 2846 354 4900 1,7163 1
"Binani Cement up by 8.45%, [TGT] hits upper-limit on BSE",positive,7617 2738 205 1194 95 57 4848 27516 6 32100 8046 4548 18 16488 30 272 4132 1,1465 1
[TGT] to benefit in the short term: Mitesh Thacker,positive,32100 12 1656 16 8 710 1657 10 1311 15 7 107 16118 3383 1,1465 1
"[TGT] close 0.3% lower at two-week lows, retailers lift",negative,32100 885 4097 5170 1364 44 192 18 8041 731 7 6 10481 5656 1,2841 1
"Sensex ends past 27,000-mark for first time; [TGT] closes at 8,083",neutral,3 19003 226 5542 657 204 18834 18 3920 21 166 97 117 32100 885 7 44 9478 4018 519 1,7163 1
"[TGT] is a good buy: G Chokkalingam, Equinomics Research & Advisory Pvt Ltd",positive,32100 19 3 9 207 805 10 350 6285 8511 9 697 265 6 21263 29 27036 2200 3 184 3 17037 276 208 17 3937 1,1465 1
"Prefer [TGT], Hero MotoCorps in the two-wheeler sector: Prakash Diwan",positive,1266 1010 32100 3 6 14953 18668 13026 102 7 16 8 192 18 14074 49 2393 10 6110 157 3198 2043 3877 1,1465 1
"[TGT]: US launches, better movement of rupee add value",positive,32100 3 10 837 22506 6 394 2426 13 24617 15 617 701 1,1465 1
EU pain has an upside for [TGT],positive,3371 1406 65 46 19118 21 32100 1,1465 1
"[TGT] slips over 200 points, Nifty tests 6,250 levels",negative,32100 7560 7 147 2382 979 6 445 21822 3830 8580 11434 1425 1,2841 1
"Dollar, [TGT] dip as Asia awaits central bank meetings",negative,14110 6 32100 10823 38 3826 19902 7 2069 2137 4677 1,2841 1
[TGT] names Dinesh Malkani new India sales head,neutral,32100 3056 3181 15 7 107 2148 3304 23 126 1547 1085 819 1,7163 1
"[TGT] sees 20% upside potential in Infosys, upgrades to buy",neutral,32100 217 7 7580 19118 1055 16 7880 7 63 7 6 15694 12 805 1,7163 1
"[TGT] a good buy even at current levels: Taher Badshah, Motilal Oswal AM",positive,32100 3 9 207 805 237 44 750 1425 10 2067 760 3862 7 1024 107 6 1290 17 173 138 411 7 5380 5422 1,1465 1
[TGT] surges 11% on US based DuPont takeover talks,positive,32100 18787 7 209 4704 30 837 3 390 970 345 1770 240 1890 6927 1,1465 1
"Not excited about [TGT]: Gaurav Mehta, Ambit Capital",negative,933 2787 81 32100 3 10 12520 11852 1212 107 17 9 6 20875 17 5826 1,2841 1
[TGT] slips over 5% as Q4 loss widens to Rs 9.68 crore,negative,32100 7560 7 147 3 2712 38 1593 591 1453 1148 29 7 12 11715 5835 3651 23095 1,2841 1
[TGT] gives Financial Technologies more time for IEX stake sale,neutral,32100 1527 5421 13335 72 97 21 3 5091 4 8474 1048 1,7163 1
[TGT] set to smoke out olive oil,positive,32100 356 12 7269 91 7994 1043 1,1465 1
"BSE, [TGT] to remain closed on account of Maharashtra Day",neutral,272 4132 6 32100 12 2367 3168 30 905 13 16256 12380 1313 1430 1,7163 1
Exposure increased to oil and gas space; look at [TGT] more favourably: David Pezarkar,positive,13471 4334 1936 12 1043 11 1807 628 117 320 44 32100 72 14499 3834 10 1955 1276 7061 4031 1,1465 1
[TGT] bullish on energy sector as oil price steadies,neutral,32100 8434 1273 30 827 2393 38 1043 594 19983 15 7 1,7163 1
"Shortsell [TGT]: CK Narayan, Growth Avenues Asset Advisors",negative,7110 12019 32100 3 10 3 10459 1823 2866 152 6 17435 6916 7 18202 17228 7 1,2841 1
[TGT] looks to sell up to 10% in UCX to SBI,neutral,32100 1416 12 1789 95 12 6389 16 3 6463 4 12 180 5972 1,7163 1
"Malvinder and Shivinder Singh looking to exit [TGT], Bain Capital, Baring in fray",negative,2148 2494 588 11 4804 2494 588 16738 479 12 7189 32100 3 6 2659 77 5826 6 1386 53 16 8072 63 1,2841 1
[TGT] gain 1.56 pc on global cues,positive,32100 2485 1300 4834 3 102 75 30 1252 123 15 7 1,1465 1
103 alter funds allowed to operate in Ind by [TGT],neutral,3 17864 8310 2731 2225 12 4368 16 86 26 57 32100 1,7163 1
[TGT]s: Tokyo stocks open flat,neutral,32100 3 7 10 12653 10145 539 2667 1,7163 1
[TGT] Q2 net up 54% at Rs 492 crore,positive,32100 1593 357 3134 95 305 5988 44 11715 314 4508 23095 1,1465 1
[TGT] shares gain after strong earnings,positive,32100 4776 2485 227 1101 8783 1,1465 1
"Education body accuses [TGT]'s arm of conflict of interest, plagiarism",neutral,2855 643 17316 15 7 32100 3 31 7 2939 13 4129 13 1046 6 31447 1,7163 1
Wait and watch [TGT]: Sudip Bandyopadhyay,positive,14583 11 1605 32100 3 10 1923 21981 4483 63 32 5612 107 63 9 63 1,1465 1
"Nifty, [TGT] start on a cautious note; Infosys, TCS up",negative,445 21822 6 32100 456 30 3 9 20917 2232 117 7880 7 63 7 6 332 4778 95 1,2841 1
"2G auction: [TGT] seen correcting, call charges may get higher",negative,204 517 8493 10 32100 894 2024 53 6 580 3991 164 129 1146 1,2841 1
"Maharashtra set to brand its [TGT] & tur, floats a tender to appoint a consultant for the exercise",neutral,16256 12380 1313 356 12 1056 165 32100 3 184 3 2905 6 3 12660 7 3 9 9024 12 3 9 102 2700 3 9 7792 21 8 2510 1,7163 1
"Local investors should buy equities; [TGT], auto favourable spaces: Deven Choksey",positive,4593 4367 225 805 3 15 1169 3010 117 32100 3 6 1510 3 30786 4856 10 374 1926 6285 157 7 15 63 1,1465 1
[TGT] rallies over 8% as Q1 net profit jumps 19.77%,positive,32100 26930 7 147 3 5953 38 1593 536 3134 3199 4418 7 9997 4013 1454 1,1465 1
"PSUs CIL, [TGT] and NMDC may buy back shares to bail out government",neutral,276 4138 7 205 3502 6 32100 11 3 16568 6338 164 805 223 4776 12 15794 91 789 1,7163 1
[TGT] to launch international board on September 29,neutral,32100 12 3289 1038 1476 30 1600 2838 1,7163 1
[TGT] foremost player in infrastructure finance segment: Fayeza Hafizee,positive,32100 19839 1959 16 3620 4747 5508 10 1699 63 457 9 1626 89 1737 15 1,1465 1
Do not see [TGT] crossing Rs 450: Sandeep Wagle,negative,531 59 217 32100 12529 11715 3 10593 10 1051 25221 3129 3537 1,2841 1
"Valuations on the higher side, but India remains an attractive story in the long term: Hans Goetti, [TGT]",neutral,3833 76 1628 30 8 1146 596 6 68 1547 3048 46 5250 733 16 8 307 1657 10 10001 1263 10652 6 32100 1,7163 1
[TGT] fall to their lowest in over 7 months,negative,32100 1590 12 70 7402 16 147 489 767 1,2841 1
"[TGT], Axis & others to be hit by new lending rate norm",negative,32100 3 6 71 226 159 3 184 717 12 36 1560 57 126 16391 1080 7982 1,2841 1
[TGT] brightest minds reveal the most important charts in the world,neutral,32100 2756 222 10884 6731 8 167 359 12321 16 8 296 1,7163 1
"With auto sales gaining pace, brokers say [TGT] can give over 20% returns",positive,438 1510 1085 3 11866 4974 6 18593 497 32100 54 428 147 7580 5146 1,1465 1
[TGT] Q3 net up 30.76% at Rs 3.40 crore,positive,32100 1593 519 3134 95 220 22426 6370 44 11715 1877 2445 23095 1,1465 1
MF agent's guaranteed returns to [TGT] violate Sebi norms,negative,3 13286 3102 31 7 7206 5146 12 32100 15108 679 115 23 7982 7 1,2841 1
[TGT] may have to shell out more on perpetual bonds,neutral,32100 164 43 12 7300 91 72 30 28656 13237 1,7163 1
[TGT] PAT up 46.65 per cent to Rs 2.56 crore,positive,32100 276 5767 95 9668 5 4122 399 3151 12 11715 1682 4834 23095 1,1465 1
[TGT] decline 0.53% on subdued demand,negative,32100 7198 3 12100 5170 30 769 1259 15 26 2173 1,2841 1
"[TGT] raises Rs 8,000 crore via eight-year maturity bonds",positive,32100 3033 7 11715 3 16235 23095 1009 2641 18 1201 22004 13237 1,1465 1
[TGT] plumb new lows after US stocks post record,negative,32100 4752 5937 126 731 7 227 837 10145 442 1368 1,2841 1
[TGT] company Orient Paper & Industries launches new brand identity 'Orient Electric',neutral,32100 349 3 16495 6564 3 184 18080 22506 126 1056 4810 3 31 16495 8666 31 1,7163 1
Hold rating on [TGT] with a target price of 650: Pankaj Pandey,neutral,8470 5773 30 32100 28 3 9 2387 594 13 3 15348 10 4266 1258 354 4266 221 63 1,7163 1
Underweight on [TGT] and mining sector: BP Singh,negative,3526 9378 30 32100 11 5558 2393 10 3 11165 16738 1,2841 1
[TGT] turns defensive on retail sales disappointment,negative,32100 5050 11976 30 3549 1085 19142 1,2841 1
"Asset allocation a better strategy for individual investor: Prashant Sharma, [TGT]",neutral,18202 17127 3 9 394 1998 21 928 12024 10 276 12380 288 30405 6 32100 1,7163 1
"Dollar firm vs commodity currencies, eyes on [TGT] prices",neutral,14110 1669 3 208 7 23070 22628 6 2053 30 32100 1596 1,7163 1
[TGT] Q1 net up 11 pc at Rs 44 cr,positive,32100 1593 536 3134 95 850 3 102 75 44 11715 8537 5764 1,1465 1
Wilmar deal: Not much for [TGT] investors,neutral,8540 1635 1154 10 933 231 21 32100 4367 1,7163 1
"Yuan weakens, backs away from gains as [TGT] appetite returns",positive,6214 152 5676 35 7 6 223 7 550 45 11391 38 32100 17699 5146 1,1465 1
[TGT] slips in 2014; first major decline since 2005 revaluation,negative,32100 7560 7 16 1412 117 166 779 7198 437 3105 3 60 7480 257 1,2841 1
Chinas [TGT] hires Jabong co-founder Manu Jain to head India operations,neutral,1473 7 32100 3804 7 2215 115 2444 576 18 14435 1140 76 2215 77 12 819 1547 2673 1,7163 1
[TGT] jumps as board approves hike in FII limit,positive,32100 4418 7 38 1476 15444 7 8598 16 3 4936 196 2006 1,1465 1
[TGT] to foray into commodities trading with new platform,neutral,32100 12 21 9 63 139 27592 3415 28 126 1585 1,7163 1
Lack of clarity on [TGT] exports vexes mill owners,negative,22105 13 12428 30 32100 4202 7 3 208 6667 7 3293 2713 1,2841 1
Egypt unrest may fuel rally in oil & [TGT] stocks,positive,10438 73 6216 164 2914 13980 16 1043 3 184 32100 10145 1,1465 1
"Upbeat China PMI boosts Asia equities, Aussie; [TGT] up on Iraq",positive,3234 12745 1473 3246 196 4888 7 3826 3 15 1169 3010 6 21439 15 117 32100 95 30 7457 1,1465 1
[TGT] may get costlier this fiscal year,positive,32100 164 129 583 3299 48 5043 215 1,1465 1
"China stock markets steady after [TGT] pledges ""flexible"" policy",neutral,1473 1519 3212 11207 227 32100 15387 7 96 8902 2317 121 1291 1,7163 1
[TGT] shines brighter than gold; returns over 600% in 14 years,positive,32100 9567 7 2756 49 145 2045 117 5146 147 7366 1454 16 968 203 1,1465 1
Investors can remain in quality stock like L&T: [TGT],neutral,16873 7 54 2367 16 463 1519 114 301 184 382 10 32100 1,7163 1
"[TGT] firms, euro cracks under rates pressure",neutral,32100 5654 6 3983 5261 7 365 1917 1666 1,7163 1
Right time to enter into [TGT]: Prakash Diwan,positive,5068 97 12 2058 139 32100 3 10 6110 157 3198 2043 3877 1,1465 1
"Heritage Food, [TGT] top two stocks ideas for next 3 months: G Chokkalingam, Equinomics",positive,11523 3139 6 32100 420 192 10145 912 21 416 220 767 10 350 6285 8511 9 697 265 6 21263 29 27036 1,1465 1
"[TGT] supported by ECB talk, Japan election speculation",neutral,32100 3510 57 3 3073 279 1350 6 3411 4356 22547 1,7163 1
Hot stock: [TGT] sees 85% upside in SKS Microfinance,neutral,5396 1519 10 32100 217 7 3 25832 19118 16 180 13383 5893 89 77 663 1,7163 1
"[TGT] holds 26,400; Nifty slips below 7,900",neutral,32100 4532 13597 5548 117 445 21822 7560 7 666 7973 7015 1,7163 1
[TGT] Q4 net profit surges 27.74%  to  Rs 102.26 crore,positive,32100 1593 591 3134 3199 18787 7 2307 5 940 5988 12 11715 3 14388 5 2688 23095 1,1465 1
[TGT]'s India office to woo fund raising corporations,neutral,32100 3 31 7 1547 828 12 3 14952 3069 7954 11711 1,7163 1
[TGT] gets Sebi nod for Rs 360-crore IPO,positive,32100 2347 679 115 23 150 26 21 11715 9181 18 2771 60 3 25470 1,1465 1
Gold-linked money pooling schemes under [TGT] scanner,neutral,2540 18 29000 540 2201 53 15171 365 32100 19083 1,7163 1
[TGT]: H1 listings activity rises 8.7%,positive,32100 3 10 454 536 11070 1756 3098 7 4848 6170 1,1465 1
[TGT] shares jump on sale of Volvo stake,positive,32100 4776 4418 30 1048 13 22842 8474 1,1465 1
"[TGT] sees 25% downside in L&T, advises investors to 'sell'",neutral,32100 217 7 12238 21204 16 301 184 382 6 7786 7 4367 12 3 31 12019 31 1,7163 1
Sahara submits ownership papers of lands to [TGT],neutral,1138 14888 4237 7 7915 5778 13 3 6347 12 32100 1,7163 1
[TGT] Q1 net up 2 pc at Rs 45.63 crore,positive,32100 1593 536 3134 95 204 3 102 75 44 11715 3479 5 3891 23095 1,1465 1
"Tough week ahead for the markets: Dipan Mehta, Member, BSE and [TGT]",neutral,332 4607 471 2177 21 8 3212 10 23177 152 1212 107 17 9 6 8541 6 272 4132 11 32100 1,7163 1
"[TGT] axes 15,000 jobs, raises $5.1 billion in capital",positive,32100 3 11579 7 209 5898 2476 6 3033 7 1514 20519 2108 16 1784 1,1465 1
[TGT] Shares up 4% on $200-million order,positive,32100 7105 7 95 3 5988 30 19503 18 17030 455 1,1465 1
"Railway vendor stocks like Kalindee, [TGT], Texmaco, back in limelight as budget nears",positive,18025 11407 10145 114 5740 77 221 15 6 32100 3 6 3 13598 11101 32 6 223 16 13222 2242 38 1487 1084 7 1,1465 1
"Post [TGT] policy: Bonds draw comfort from future guidance, rupee steady",neutral,1844 32100 1291 10 12528 7 3314 2115 45 647 4864 6 24617 15 11207 1,7163 1
[TGT] Q3 profit rises 31 pc to Rs 150.68 crore,positive,32100 1593 519 3199 3098 7 2664 3 102 75 12 11715 4261 5 3651 23095 1,1465 1
[TGT] yields steady ahead of buyback results,neutral,32100 6339 7 11207 2177 13 805 1549 772 1,7163 1
[TGT] mixed as Apple weighs on Nasdaq,neutral,32100 4838 38 2184 11385 7 30 10571 26 9 1824 1,7163 1
"Forgettable year for [TGT] & silver, base metals melted on China heat",negative,242 2782 3869 215 21 32100 3 184 4294 6 1247 1946 7 3 19293 30 1473 1678 1,2841 1
Bearish on [TGT]: Ashwani Gujral,negative,9034 1273 30 32100 3 10 7153 3877 23 2846 354 4900 1,2841 1
"UP Elections: Sugar stocks like Bajaj Hindusthan, [TGT] rise amid election results",positive,3 6880 19488 7 10 16382 10145 114 2659 1191 354 18528 7 6736 6 32100 3098 18905 4356 772 1,1465 1
[TGT] rallies 7% as Jhunjhunwala buys 15 lakh shares,positive,32100 26930 7 3 6170 38 446 107 202 354 107 202 5380 9 805 7 627 27880 4776 1,1465 1
[TGT] rallies 12% as Q4 net profit doubles to Rs 20.5 crores,positive,32100 26930 7 3 26821 38 1593 591 3134 3199 1486 7 12 11715 204 12100 23095 7 1,1465 1
Worst is behind for [TGT]; all eyes on management activity: Deven Choksey,positive,11287 7 17 19 1187 21 32100 3 117 66 2053 30 758 1756 10 374 1926 6285 157 7 15 63 1,1465 1
[TGT] Q4 net up over 26% at Rs 32.73 crore,positive,32100 1593 591 3134 95 147 204 6370 44 11715 3538 5 4552 23095 1,1465 1
Would not take a position on the [TGT]: Deepak Mohoni,negative,5328 59 240 3 9 1102 30 8 32100 3 10 9509 1639 1290 107 106 23 1,2841 1
[TGT] asks for fresh clarification on Inox Wind Rs 700 crore IPO,neutral,32100 987 7 21 1434 28733 30 27 19864 5634 11715 12283 23095 3 25470 1,7163 1
Pre-market: [TGT] seen opening flat in special trading session,neutral,1266 18 8809 10 32100 894 2101 2667 16 534 3415 2363 1,7163 1
"Manappuram Finance, [TGT] crack; down over 20% in April",negative,1140 3096 2414 51 7679 6 32100 5261 117 323 147 7580 16 1186 1,2841 1
Valuations do not warrant fresh buying in [TGT]; existing investors should stay put: Mayuresh Joshi,neutral,3833 76 1628 103 59 11741 1434 2611 16 32100 3 117 1895 4367 225 1049 474 10 932 7665 107 14136 23 1,7163 1
Investor sentiment on [TGT] goes from giddy to glum,negative,16873 6493 30 32100 1550 45 3 122 23 8155 12 3 13492 51 1,2841 1
Investors cheer [TGT] bank rescue,positive,16873 7 11288 32100 2137 9635 1,1465 1
[TGT] Q2 net loss narrows at Rs 400.4 crore,negative,32100 1593 357 3134 1453 5658 7 44 11715 1283 22776 23095 1,2841 1
"[TGT] to trade in a range of 8350-8,550: Ashwani Gujral",neutral,32100 12 1668 16 3 9 620 13 505 16975 6039 6 17147 10 7153 3877 23 2846 354 4900 1,7163 1
Smaller names in [TGT] may have good strides: Prakash Diwan,positive,4872 49 3056 16 32100 164 43 207 5765 9361 10 6110 157 3198 2043 3877 1,1465 1
"[TGT] Q2 profit at Rs 2,425.16 crore",neutral,32100 1593 357 3199 44 11715 3547 4165 20519 948 23095 1,7163 1
